"","RowTree","d13C","totalN","totalC","UniqueID","Yearplanted","Current.name","TaxonoriginalDN","Section","PackedForSequencing","Diam.1.Bark","Diam.2.Bark","Diam.1.peeled","Diam.2.peeled","Volume.wood","Leaf.dry.weight","Wood.dry.weight","Taxonsimplified_DN","Acceptedname_ALA","Note.Gbif","Taxonresolution_ALA","Collector","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2019Scale","Drought2020","Drought2020Scale","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted.1","Drought2006Scale","latitude","longitude","Binomial.Dean.Nicolle","Stateoccurrence","Regeneration.Strategy","CCA","ai_et0","et0_yr","AICorrected","MAT","TWQ","TCQ","MAP","PWM","PDM","PS","PWarmQ","PDQ","PWetQ","PCQ","MDR","ISOT","TS","MaxTWM","MinTCM","TAR","MTWQ","MeanTDQ","et0_yr_corrected","PrecDeficit","ConsevationStatusNSW"
"1","R052/T10",-30.57,1,50,674,1994,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","Adnataria","x",7.42,7.44,6.48,5.85,1.51,2.9939,0.95,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","","Species","D.Nicolle","Wallangarra, Qld",28,54,3,151,54,28,52,10,"Alive","None evident","0","None evident","0","?","","","","","","None evident","","",1994,"0",-28.90083333,151.9077778,"Eucalyptus sideroxylon","NSW,Vic,Qld","Combination","Y",5225,1609,0.5225,15.20833,20.73333,8.95,841,110,37,36.45587,318,134,318,134,12.35,49.00793,476.1247,27.2,2,25.2,20.73333,8.95,0.1609,840.8391,""
"2","R052/T12",-30.01,1.4,51.4,674,1994,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","Adnataria","x",9.01,9.27,7.22,7.42,1.73,2.0786,1.11,"Eucalyptus sideroxylon","Eucalyptus sideroxylon","","Species","D.Nicolle","Wallangarra, Qld",28,54,3,151,54,28,52,12,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-28.90083333,151.9077778,"Eucalyptus sideroxylon","NSW,Vic,Qld","Combination","Y",5225,1609,0.5225,15.20833,20.73333,8.95,841,110,37,36.45587,318,134,318,134,12.35,49.00793,476.1247,27.2,2,25.2,20.73333,8.95,0.1609,840.8391,""
"3","R053/T05",-28.64,1.2,50.1,685,1994,"EucalyptusÂ fibrosaÂ subsp.Â nubilis","Eucalyptus nubilis","Adnataria","x",9.59,10.09,7.23,7.47,1.97,3.729,1.34,"Eucalyptus nubilis","Eucalyptus fibrosa subsp. nubilis","","Subspecies","D.Nicolle","Tara, Qld",27,3,22,150,30,34,53,5,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.05611111,150.5094444,"Eucalyptus nubilis","Qld,NSW","Combination","Y",3134,1962,0.3134,18.95417,24.86667,12.05,615,91,25,41.93191,241,87,241,87,12.79167,47.90886,519.9802,31.4,4.7,26.7,24.86667,12.05,0.1962,614.8038,""
"4","R053/T06",-30.2,0.9,50.3,685,1994,"EucalyptusÂ fibrosaÂ subsp.Â nubilis","Eucalyptus nubilis","Adnataria","x",10.43,10.5,9.06,79,2.67,4.6829,1.87,"Eucalyptus nubilis","Eucalyptus fibrosa subsp. nubilis","","Subspecies","D.Nicolle","Tara, Qld",27,3,22,150,30,34,53,6,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.05611111,150.5094444,"Eucalyptus nubilis","Qld,NSW","Combination","Y",3134,1962,0.3134,18.95417,24.86667,12.05,615,91,25,41.93191,241,87,241,87,12.79167,47.90886,519.9802,31.4,4.7,26.7,24.86667,12.05,0.1962,614.8038,""
"5","R053/T08",-30.63,0.7,50.5,685,1994,"EucalyptusÂ fibrosaÂ subsp.Â nubilis","Eucalyptus nubilis","Adnataria","x",8.42,8.28,6.5,6.36,1.61,5.8074,1.09,"Eucalyptus nubilis","Eucalyptus fibrosa subsp. nubilis","","Subspecies","D.Nicolle","Tara, Qld",27,3,22,150,30,34,53,8,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-27.05611111,150.5094444,"Eucalyptus nubilis","Qld,NSW","Combination","Y",3134,1962,0.3134,18.95417,24.86667,12.05,615,91,25,41.93191,241,87,241,87,12.79167,47.90886,519.9802,31.4,4.7,26.7,24.86667,12.05,0.1962,614.8038,""
"6","R053/T09",-28.94,1.2,50.6,639,1994,"Eucalyptus paniculata","Eucalyptus paniculata (subsp. matutina)","Adnataria","x",11.27,12,8.58,9.65,3.75,1.7422,2.48,"Eucalyptus paniculata","Eucalyptus paniculata","","Species","D.Nicolle","Nelson Bay, NSW",32,44,0,152,10,45,53,9,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.73333333,152.1791667,"Eucalyptus paniculata","NSW","Combination","Y",8180,1590,0.818,18.075,22.05,13.68333,1301,151,73,24.49396,421,243,295,337,7.766666,46.23016,341.2111,26,9.2,16.8,16.68333,15.65,0.159,1300.841,""
"7","R053/T10",-27.84,0.9,49.4,639,1994,"Eucalyptus paniculata","Eucalyptus paniculata (subsp. matutina)","Adnataria","x",9.38,8.8,7.24,7.69,2.4,3.3035,1.7,"Eucalyptus paniculata","Eucalyptus paniculata","","Species","D.Nicolle","Nelson Bay, NSW",32,44,0,152,10,45,53,10,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-32.73333333,152.1791667,"Eucalyptus paniculata","NSW","Combination","Y",8180,1590,0.818,18.075,22.05,13.68333,1301,151,73,24.49396,421,243,295,337,7.766666,46.23016,341.2111,26,9.2,16.8,16.68333,15.65,0.159,1300.841,""
"8","R053/T11",-27.77,1,49.7,639,1994,"Eucalyptus paniculata","Eucalyptus paniculata (subsp. matutina)","Adnataria","x",9.68,10.25,6.93,7.81,2.1,3.3312,1.46,"Eucalyptus paniculata","Eucalyptus paniculata","","Species","D.Nicolle","Nelson Bay, NSW",32,44,0,152,10,45,53,11,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.73333333,152.1791667,"Eucalyptus paniculata","NSW","Combination","Y",8180,1590,0.818,18.075,22.05,13.68333,1301,151,73,24.49396,421,243,295,337,7.766666,46.23016,341.2111,26,9.2,16.8,16.68333,15.65,0.159,1300.841,""
"9","R053/T17",-28.02,1.4,50,604,1994,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","Exsertaria","x",10.09,10.47,7.79,8.43,2.81,4.3584,1.54,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","","Subspecies","D.Nicolle","Nerriga, NSW",35,5,41,150,6,56,53,17,"Alive","Slight","1","Moderate","2","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","Slight","","",1994,"1",-35.09472222,150.1155556,"Eucalyptus amplifolia subsp. amplifolia","NSW","Combination","Y",6038,1366,0.6038,13.0625,18.53333,7.3,825,90,48,16.69861,241,166,209,186,11.425,48.0042,451.5132,25.2,1.4,23.8,18.26667,8.233334,0.1366,824.8634,""
"10","R053/T18",-27.67,1.5,50.1,604,1994,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","Exsertaria","x",8.85,8.62,7.63,6.9,1.91,5.4911,1.17,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","","Subspecies","D.Nicolle","Nerriga, NSW",35,5,41,150,6,56,53,18,"Alive","Slight","1","Moderate","2","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-35.09472222,150.1155556,"Eucalyptus amplifolia subsp. amplifolia","NSW","Combination","Y",6038,1366,0.6038,13.0625,18.53333,7.3,825,90,48,16.69861,241,166,209,186,11.425,48.0042,451.5132,25.2,1.4,23.8,18.26667,8.233334,0.1366,824.8634,""
"11","R053/T19",-27.6,1.6,50.1,604,1994,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","Exsertaria","x",8.58,8.15,7.52,7.53,1.95,3.0286,1.17,"Eucalyptus amplifolia subsp. amplifolia","Eucalyptus amplifolia subsp. amplifolia","","Subspecies","D.Nicolle","Nerriga, NSW",35,5,41,150,6,56,53,19,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-35.09472222,150.1155556,"Eucalyptus amplifolia subsp. amplifolia","NSW","Combination","Y",6038,1366,0.6038,13.0625,18.53333,7.3,825,90,48,16.69861,241,166,209,186,11.425,48.0042,451.5132,25.2,1.4,23.8,18.26667,8.233334,0.1366,824.8634,""
"12","R053/T25",-32.04,0.8,51,689,1994,"Eucalyptus dura","Eucalyptus dura","Adnataria","x",10.17,9.9,7.08,7.46,1.8,3.2572,1.2,"Eucalyptus dura","Eucalyptus dura","","Species","D.Nicolle","Barakula State Forest, Qld",26,21,9,150,52,5,53,25,"Alive","None evident","0","None evident","0","?","","","","","","None evident","","",1994,"0",-26.3525,150.8680556,"Eucalyptus dura","Qld","Combination","Y",3478,1874,0.3478,18.45833,23.88333,12.03333,652,95,24,45.71535,265,86,265,86,11.71667,47.62873,480.69,30,5.4,24.6,23.88333,12.03333,0.1874,651.8126,""
"13","R053/T26",-29.96,0.9,49.9,689,1994,"Eucalyptus dura","Eucalyptus dura","Adnataria","x",7.25,7.08,5.5,5.69,1.21,3.988,0.92,"Eucalyptus dura","Eucalyptus dura","","Species","D.Nicolle","Barakula State Forest, Qld",26,21,9,150,52,5,53,26,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-26.3525,150.8680556,"Eucalyptus dura","Qld","Combination","Y",3478,1874,0.3478,18.45833,23.88333,12.03333,652,95,24,45.71535,265,86,265,86,11.71667,47.62873,480.69,30,5.4,24.6,23.88333,12.03333,0.1874,651.8126,""
"14","R053/T27",-27.14,1.3,49.9,689,1994,"Eucalyptus dura","Eucalyptus dura","Adnataria","x",8.8,8.53,6.14,6.58,1.43,3.2945,0.97,"Eucalyptus dura","Eucalyptus dura","","Species","D.Nicolle","Barakula State Forest, Qld",26,21,9,150,52,5,53,27,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-26.3525,150.8680556,"Eucalyptus dura","Qld","Combination","Y",3478,1874,0.3478,18.45833,23.88333,12.03333,652,95,24,45.71535,265,86,265,86,11.71667,47.62873,480.69,30,5.4,24.6,23.88333,12.03333,0.1874,651.8126,""
"15","R053/T33",-30.06,1.3,48.8,683,1994,"Eucalyptus panda","Eucalyptus panda","Adnataria","x",10.47,10.07,7.84,7.69,2.11,1.5862,1.24,"Eucalyptus panda","Eucalyptus panda","","Species","D.Nicolle","Tara, Qld",27,7,57,150,29,0,53,33,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-27.1325,150.4833333,"Eucalyptus panda","Qld,NSW","Combination","Y",3159,1962,0.3159,18.8625,24.78333,11.96667,620,90,25,42.00947,245,89,245,89,12.875,48.04104,520.2802,31.5,4.7,26.8,24.78333,11.96667,0.1962,619.8038,""
"16","R053/T35",-28.01,1.5,49.3,683,1994,"Eucalyptus panda","Eucalyptus panda","Adnataria","x",8.45,8.16,5.86,6.05,1.25,2.1448,0.83,"Eucalyptus panda","Eucalyptus panda","","Species","D.Nicolle","Tara, Qld",27,7,57,150,29,0,53,35,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.1325,150.4833333,"Eucalyptus panda","Qld,NSW","Combination","Y",3159,1962,0.3159,18.8625,24.78333,11.96667,620,90,25,42.00947,245,89,245,89,12.875,48.04104,520.2802,31.5,4.7,26.8,24.78333,11.96667,0.1962,619.8038,""
"17","R053/T36",-28.25,1.1,48.4,683,1994,"Eucalyptus panda","Eucalyptus panda","Adnataria","x",8.92,8.05,5.67,6.56,1.54,2.983,1.06,"Eucalyptus panda","Eucalyptus panda","","Species","D.Nicolle","Tara, Qld",27,7,57,150,29,0,53,36,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-27.1325,150.4833333,"Eucalyptus panda","Qld,NSW","Combination","Y",3159,1962,0.3159,18.8625,24.78333,11.96667,620,90,25,42.00947,245,89,245,89,12.875,48.04104,520.2802,31.5,4.7,26.8,24.78333,11.96667,0.1962,619.8038,""
"18","R053/T13",-29.03,1.1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","R054/T14",-29.16,0.9,47.1,717,1994,"Eucalyptus siderophloia","Eucalyptus siderophloia","Adnataria","x",10.24,9.93,7.63,7.96,2.2,2.6327,1.54,"Eucalyptus siderophloia","Eucalyptus siderophloia","","Species","D.Nicolle","Gympie, Qld",26,8,8,152,34,50,54,14,"Alive","Slight","1","None evident","0","?","Scattered","Secondary & tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1994,"0",-26.13555556,152.5805556,"Eucalyptus siderophloia","Qld,NSW","Combination","Y",6024,1830,0.6024,20.4,24.9,15.01667,1103,163,37,47.39084,463,135,463,150,12.61667,53.68795,399.8181,30.8,7.3,23.5,24.9,15.95,0.183,1102.817,""
"20","R054/T15",-27.48,1.1,49.2,717,1994,"Eucalyptus siderophloia","Eucalyptus siderophloia","Adnataria","x",10.98,10.36,8.32,8.81,2.82,1.5404,1.94,"Eucalyptus siderophloia","Eucalyptus siderophloia","","Species","D.Nicolle","Gympie, Qld",26,8,8,152,34,50,54,15,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-26.13555556,152.5805556,"Eucalyptus siderophloia","Qld,NSW","Combination","Y",6024,1830,0.6024,20.4,24.9,15.01667,1103,163,37,47.39084,463,135,463,150,12.61667,53.68795,399.8181,30.8,7.3,23.5,24.9,15.95,0.183,1102.817,""
"21","R054/T16",-30.16,1.1,49.5,697,1994,"Eucalyptus cambageana","Eucalyptus cambageana","Adnataria","x",10.89,10.51,9.42,8.22,3.06,4.831,2.32,"Eucalyptus cambageana","Eucalyptus cambageana","","Species","D.Nicolle","Moura, Qld",24,42,24,150,0,52,54,16,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-24.70666667,150.0144444,"Eucalyptus cambageana","Qld","Combination","Y",3047,2080,0.3047,21.41667,26.63333,15.03333,634,91,23,48.30912,259,78,255,78,14.01667,52.30099,471.1463,33.5,6.7,26.8,26.01667,15.03333,0.208,633.792,""
"22","R054/T18",-28.7,1,49.7,697,1994,"Eucalyptus cambageana","Eucalyptus cambageana","Adnataria","x",9.98,9.03,7.71,7.91,2.26,4.3367,1.6,"Eucalyptus cambageana","Eucalyptus cambageana","","Species","D.Nicolle","Moura, Qld",24,42,24,150,0,52,54,18,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-24.70666667,150.0144444,"Eucalyptus cambageana","Qld","Combination","Y",3047,2080,0.3047,21.41667,26.63333,15.03333,634,91,23,48.30912,259,78,255,78,14.01667,52.30099,471.1463,33.5,6.7,26.8,26.01667,15.03333,0.208,633.792,""
"23","R054/T19",-28.67,1.2,50.5,697,1994,"Eucalyptus cambageana","Eucalyptus cambageana","Adnataria","x",12.67,12.7,9.93,9.09,2.75,4.8725,2.05,"Eucalyptus cambageana","Eucalyptus cambageana","","Species","D.Nicolle","Moura, Qld",24,42,24,150,0,52,54,19,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-24.70666667,150.0144444,"Eucalyptus cambageana","Qld","Combination","Y",3047,2080,0.3047,21.41667,26.63333,15.03333,634,91,23,48.30912,259,78,255,78,14.01667,52.30099,471.1463,33.5,6.7,26.8,26.01667,15.03333,0.208,633.792,""
"24","R054/T21",-25.06,1.3,46.2,698,1994,"Eucalyptus orgadophila","Eucalyptus orgadophila","Adnataria","x",8.93,8.68,6.54,6.25,1.43,2.0653,0.96,"Eucalyptus orgadophila","Eucalyptus orgadophila","","Species","D.Nicolle","Rolleston, Qld",24,34,37,148,54,2,54,21,"Alive","Slight","1","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-24.57694444,148.9005556,"Eucalyptus orgadophila","Qld","Combination","Y",2951,2148,0.2951,21.19583,26.6,14.6,634,108,20,53.55069,278,71,278,71,14.375,52.27273,488.6319,33.6,6.1,27.5,26.6,14.6,0.2148,633.7852,""
"25","R054/T22",-28.95,1.4,47.8,698,1994,"Eucalyptus orgadophila","Eucalyptus orgadophila","Adnataria","x",12.68,11.85,8.97,10.04,3.09,2.1887,1.99,"Eucalyptus orgadophila","Eucalyptus orgadophila","","Species","D.Nicolle","Rolleston, Qld",24,34,37,148,54,2,54,22,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-24.57694444,148.9005556,"Eucalyptus orgadophila","Qld","Combination","Y",2951,2148,0.2951,21.19583,26.6,14.6,634,108,20,53.55069,278,71,278,71,14.375,52.27273,488.6319,33.6,6.1,27.5,26.6,14.6,0.2148,633.7852,""
"26","R054/T23",-29.54,1,47.5,698,1994,"Eucalyptus orgadophila","Eucalyptus orgadophila","Adnataria","x",8.95,9,7.5,7.93,2.4,2.311,1.69,"Eucalyptus orgadophila","Eucalyptus orgadophila","","Species","D.Nicolle","Rolleston, Qld",24,34,37,148,54,2,54,23,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-24.57694444,148.9005556,"Eucalyptus orgadophila","Qld","Combination","Y",2951,2148,0.2951,21.19583,26.6,14.6,634,108,20,53.55069,278,71,278,71,14.375,52.27273,488.6319,33.6,6.1,27.5,26.6,14.6,0.2148,633.7852,""
"27","R056/T08",-28.54,1.2,49.4,641,1994,"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","Exsertaria","x",7.11,7.06,5.64,5.77,1.21,2.8456,0.73,"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","","Subspecies","D.Nicolle","Williamstown, NSW",32,46,59,151,53,14,56,8,"Alive","Slight","1","Slight","1","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"2",-32.78305556,151.8872222,"Eucalyptus parramattensis subsp. decadens","NSW","Combination","Y",7309,1593,0.7309,17.77917,22.45,12.6,1165,137,60,26.61643,368,197,300,266,9.808333,48.31691,396.8367,27.1,6.8,20.3,18.45,13.43333,0.1593,1164.841,"Threatened"
"28","R056/T09",-27.32,1.1,49.3,641,1994,"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","Exsertaria","x",9.1,9.36,7.85,7.14,2.04,2.4767,1.11,"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","","Subspecies","D.Nicolle","Williamstown, NSW",32,46,59,151,53,14,56,9,"Alive","Slight","1","Severe","3","??","None evident","","","","","Moderate","Flowered","Flowered",1994,"2",-32.78305556,151.8872222,"Eucalyptus parramattensis subsp. decadens","NSW","Combination","Y",7309,1593,0.7309,17.77917,22.45,12.6,1165,137,60,26.61643,368,197,300,266,9.808333,48.31691,396.8367,27.1,6.8,20.3,18.45,13.43333,0.1593,1164.841,"Threatened"
"29","R056/T10",-27.89,1.3,50.2,641,1994,"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","Exsertaria","x",10.46,10.34,8.73,8.79,2.33,2.4988,1.22,"Eucalyptus parramattensis subsp. decadens","Eucalyptus parramattensis subsp. decadens","","Subspecies","D.Nicolle","Williamstown, NSW",32,46,59,151,53,14,56,10,"Alive","Slight","1","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-32.78305556,151.8872222,"Eucalyptus parramattensis subsp. decadens","NSW","Combination","Y",7309,1593,0.7309,17.77917,22.45,12.6,1165,137,60,26.61643,368,197,300,266,9.808333,48.31691,396.8367,27.1,6.8,20.3,18.45,13.43333,0.1593,1164.841,"Threatened"
"30","R058/T01",-27.38,0.9,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","R058/T03",-26.55,0.8,51.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","R058/T04",-29.19,0.8,51.4,716,1994,"Eucalyptus hallii","Eucalyptus hallii","Exsertaria","x",11.28,10.36,9.32,8.1,2.6,4.6985,1.56,"Eucalyptus hallii","Eucalyptus hallii","","Species","D.Nicolle","Goodwood, Qld",25,10,12,152,22,20,58,4,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","","",1994,"0",-25.17,152.3722222,"Eucalyptus hallii","Qld","Combination","Y",5469,1835,0.5469,21.225,25.46667,16.06667,1004,168,30,52.69872,433,107,433,110,10.7,50.7109,380.7081,30.4,9.3,21.1,25.46667,17.05,0.1835,1003.817,""
