"","RowTree","d13C","totalN","totalC","UniqueID","Yearplanted","Current.name","TaxonoriginalDN","Section","PackedForSequencing","Diam.1.Bark","Diam.2.Bark","Diam.1.peeled","Diam.2.peeled","Volume.wood","Leaf.dry.weight","Wood.dry.weight","Taxonsimplified_DN","Acceptedname_ALA","Note.Gbif","Taxonresolution_ALA","Collector","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2019Scale","Drought2020","Drought2020Scale","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted.1","Drought2006Scale","latitude","longitude","Binomial.Dean.Nicolle","Stateoccurrence","Regeneration.Strategy","CCA","ai_et0","et0_yr","AICorrected","MAT","TWQ","TCQ","MAP","PWM","PDM","PS","PWarmQ","PDQ","PWetQ","PCQ","MDR","ISOT","TS","MaxTWM","MinTCM","TAR","MTWQ","MeanTDQ","et0_yr_corrected","PrecDeficit","ConsevationStatusNSW"
"33","R058/T05",-29.07,0.9,50.1,716,1994,"Eucalyptus hallii","Eucalyptus hallii","Exsertaria","x",9.32,8.6,7.73,7.08,2.09,3.0109,1.38,"Eucalyptus hallii","Eucalyptus hallii","","Species","D.Nicolle","Goodwood, Qld",25,10,12,152,22,20,58,5,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-25.17,152.3722222,"Eucalyptus hallii","Qld","Combination","Y",5469,1835,0.5469,21.225,25.46667,16.06667,1004,168,30,52.69872,433,107,433,110,10.7,50.7109,380.7081,30.4,9.3,21.1,25.46667,17.05,0.1835,1003.817,""
"34","R058/T06",-29.38,0.8,49.8,716,1994,"Eucalyptus hallii","Eucalyptus hallii","Exsertaria","x",7.98,7.8,6.82,6.34,1.8,4.5489,1.15,"Eucalyptus hallii","Eucalyptus hallii","","Species","D.Nicolle","Goodwood, Qld",25,10,12,152,22,20,58,6,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-25.17,152.3722222,"Eucalyptus hallii","Qld","Combination","Y",5469,1835,0.5469,21.225,25.46667,16.06667,1004,168,30,52.69872,433,107,433,110,10.7,50.7109,380.7081,30.4,9.3,21.1,25.46667,17.05,0.1835,1003.817,""
"35","R058/T12",-28.43,1.2,50.1,646,1994,"Eucalyptus ancophila","Eucalyptus ancophila","Adnataria","x",9.71,8.85,7.26,6.94,1.9,2.2894,1.24,"Eucalyptus ancophila","Eucalyptus ancophila","","Species","D.Nicolle","Eungai Creek, NSW",30,48,59,152,51,12,58,12,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-30.81638889,152.8533333,"Eucalyptus ancophila","NSW","Combination","Y",8463,1624,0.8463,18.475,22.85,13.5,1375,192,40,44.30709,533,140,474,187,10.13333,49.19094,377.8859,27.7,7.1,20.6,22.7,14.31667,0.1624,1374.838,""
"36","R058/T14",-27.58,0.9,50.2,646,1994,"Eucalyptus ancophila","Eucalyptus ancophila","Adnataria","x",10.85,11.33,8.84,7.98,2.51,4.036,1.57,"Eucalyptus ancophila","Eucalyptus ancophila","","Species","D.Nicolle","Eungai Creek, NSW",30,48,59,152,51,12,58,14,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-30.81638889,152.8533333,"Eucalyptus ancophila","NSW","Combination","Y",8463,1624,0.8463,18.475,22.85,13.5,1375,192,40,44.30709,533,140,474,187,10.13333,49.19094,377.8859,27.7,7.1,20.6,22.7,14.31667,0.1624,1374.838,""
"37","R058/T15",-26.96,1.2,49.7,646,1994,"Eucalyptus ancophila","Eucalyptus ancophila","Adnataria","x",10.71,10.63,7.99,8.13,2.23,3.4718,1.62,"Eucalyptus ancophila","Eucalyptus ancophila","","Species","D.Nicolle","Eungai Creek, NSW",30,48,59,152,51,12,58,15,"Alive","Slight","1","None evident","0","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-30.81638889,152.8533333,"Eucalyptus ancophila","NSW","Combination","Y",8463,1624,0.8463,18.475,22.85,13.5,1375,192,40,44.30709,533,140,474,187,10.13333,49.19094,377.8859,27.7,7.1,20.6,22.7,14.31667,0.1624,1374.838,""
"38","R059/T12",-29.35,1.1,48.7,679,1994,"Eucalyptus populnea subsp. populnea","Eucalyptus populnea subsp. populnea","Adnataria","x",8.6,8.92,6.82,6.42,1.65,4.2281,1.08,"Eucalyptus populnea subsp. populnea","Eucalyptus populnea","","Species","D.Nicolle","Kogan, Qld",27,7,0,150,41,36,59,12,"Alive","Slight","1","None evident","0","?","None evident","","","","","None evident","","",1994,"0",-27.11666667,150.6933333,"Eucalyptus populnea subsp. populnea","Qld","Combination","Y",3167,1944,0.3167,19.06667,24.93333,12.21667,616,89,24,41.21154,242,86,242,86,12.86667,48.37093,516.4183,31.6,5,26.6,24.93333,12.21667,0.1944,615.8056,""
"39","R059/T13",-29.05,1.1,49.9,679,1994,"Eucalyptus populnea subsp. populnea","Eucalyptus populnea subsp. populnea","Adnataria","x",9.07,8.71,6.3,6.8,1.72,4.2361,1.18,"Eucalyptus populnea subsp. populnea","Eucalyptus populnea","","Species","D.Nicolle","Kogan, Qld",27,7,0,150,41,36,59,13,"Alive","Moderate","2","None evident","0","??","Extensive","Tertiary branches","3 - 6 months","None evident","","None evident","","",1994,"0",-27.11666667,150.6933333,"Eucalyptus populnea subsp. populnea","Qld","Combination","Y",3167,1944,0.3167,19.06667,24.93333,12.21667,616,89,24,41.21154,242,86,242,86,12.86667,48.37093,516.4183,31.6,5,26.6,24.93333,12.21667,0.1944,615.8056,""
"40","R059/T15",-28.14,1,49.1,679,1994,"Eucalyptus populnea subsp. populnea","Eucalyptus populnea subsp. populnea","Adnataria","x",8.09,8.94,6.32,6.91,1.69,4.971,1.17,"Eucalyptus populnea subsp. populnea","Eucalyptus populnea","","Species","D.Nicolle","Kogan, Qld",27,7,0,150,41,36,59,15,"Alive","Slight","1","None evident","0","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-27.11666667,150.6933333,"Eucalyptus populnea subsp. populnea","Qld","Combination","Y",3167,1944,0.3167,19.06667,24.93333,12.21667,616,89,24,41.21154,242,86,242,86,12.86667,48.37093,516.4183,31.6,5,26.6,24.93333,12.21667,0.1944,615.8056,""
"41","R060/T01",-27.17,1.2,50.6,728,1994,"Eucalyptus vicina","Eucalyptus vicina","Exsertaria","x",10.71,9.37,7.2,8.48,2.49,3.2064,1.55,"Eucalyptus vicina","Eucalyptus vicina","","Species","D.Nicolle","Hermidale, NSW",31,33,4,146,41,29,60,1,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-31.55111111,146.6913889,"Eucalyptus vicina","NSW","Lignotuber","Y",2139,2112,0.2139,18.6875,26.16667,10.95,452,61,25,26.19689,151,83,151,83,13.45833,45.01115,615.272,33.9,4,29.9,26.16667,10.95,0.2112,451.7888,""
"42","R060/T02",-29.23,1,48.5,728,1994,"Eucalyptus vicina","Eucalyptus vicina","Exsertaria","x",7.51,7.61,6.25,6.24,1.57,2.7451,1.12,"Eucalyptus vicina","Eucalyptus vicina","","Species","D.Nicolle","Hermidale, NSW",31,33,4,146,41,29,60,2,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-31.55111111,146.6913889,"Eucalyptus vicina","NSW","Lignotuber","Y",2139,2112,0.2139,18.6875,26.16667,10.95,452,61,25,26.19689,151,83,151,83,13.45833,45.01115,615.272,33.9,4,29.9,26.16667,10.95,0.2112,451.7888,""
"43","R060/T03",-27.48,1.5,51.4,728,1994,"Eucalyptus vicina","Eucalyptus vicina","Exsertaria","x",9.43,9.98,7.42,6.55,1.93,2.5818,1.18,"Eucalyptus vicina","Eucalyptus vicina","","Species","D.Nicolle","Hermidale, NSW",31,33,4,146,41,29,60,3,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-31.55111111,146.6913889,"Eucalyptus vicina","NSW","Lignotuber","Y",2139,2112,0.2139,18.6875,26.16667,10.95,452,61,25,26.19689,151,83,151,83,13.45833,45.01115,615.272,33.9,4,29.9,26.16667,10.95,0.2112,451.7888,""
"44","R060/T29",-26.35,1.9,52.4,667,1994,"Eucalyptus interstans","Eucalyptus interstans","Exsertaria","x",7.9,8.12,5.92,6.54,1.57,1.857,0.89,"Eucalyptus interstans","Eucalyptus interstans","","Species","D.Nicolle","Drake, NSW",28,55,44,152,23,38,60,29,"Alive","Slight","1","Moderate","2","?","None evident","","","","","Moderate","Flowered","Flowered",1994,"2",-28.92888889,152.3938889,"Eucalyptus interstans","NSW,Qld","Combination","Y",7162,1604,0.7162,16.77917,21.48333,11.38333,1149,166,35,49.41257,467,120,461,126,10.44167,48.79284,408.7256,27,5.6,21.4,21.2,12.21667,0.1604,1148.84,""
"45","R060/T30",-26.49,1.7,50.2,667,1994,"Eucalyptus interstans","Eucalyptus interstans","Exsertaria","x",10.51,10.8,9.3,8.71,3.1,2.0138,1.57,"Eucalyptus interstans","Eucalyptus interstans","","Species","D.Nicolle","Drake, NSW",28,55,44,152,23,38,60,30,"Alive","Moderate","2","Severe","3","?","Extensive","Tertiary branches","3 - 6 months","None evident","","Moderate","Flowered","Flowered",1994,"2",-28.92888889,152.3938889,"Eucalyptus interstans","NSW,Qld","Combination","Y",7162,1604,0.7162,16.77917,21.48333,11.38333,1149,166,35,49.41257,467,120,461,126,10.44167,48.79284,408.7256,27,5.6,21.4,21.2,12.21667,0.1604,1148.84,""
"46","R060/T32",-28.17,1.9,50.2,667,1994,"Eucalyptus interstans","Eucalyptus interstans","Exsertaria","x",8.6,8.63,7.04,6.8,1.91,1.568,0.97,"Eucalyptus interstans","Eucalyptus interstans","","Species","D.Nicolle","Drake, NSW",28,55,44,152,23,38,60,32,"Alive","None evident","0","Moderate","2","??","None evident","","","","","Moderate","Flowered","Flowered",1994,"2",-28.92888889,152.3938889,"Eucalyptus interstans","NSW,Qld","Combination","Y",7162,1604,0.7162,16.77917,21.48333,11.38333,1149,166,35,49.41257,467,120,461,126,10.44167,48.79284,408.7256,27,5.6,21.4,21.2,12.21667,0.1604,1148.84,""
"47","R060/T33",-28.99,1.2,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","R060/T34",-29.47,0.9,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","R060/T36",-29.34,1.1,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","R061/T13",-27.08,1.2,48.4,645,1994,"Eucalyptus fusiformis","Eucalyptus fusiformis","Adnataria","x",12.71,11.91,9.54,10.03,2.8,2.68,1.77,"Eucalyptus fusiformis","Eucalyptus fusiformis","","Species","D.Nicolle","Macksville, NSW",30,54,9,152,51,12,61,13,"Alive","Slight","1","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-30.9025,152.8533333,"Eucalyptus fusiformis","NSW,Qld","Combination","Y",8575,1608,0.8575,18.2875,22.63333,13.4,1379,187,39,42.56675,526,144,472,194,9.875,49.375,373.1629,27.3,7.3,20,22.48333,14.18333,0.1608,1378.839,""
"51","R061/T14",-27.03,1.4,49.7,645,1994,"Eucalyptus fusiformis","Eucalyptus fusiformis","Adnataria","x",11.7,11.17,8.88,8.26,3.12,2.2022,1.96,"Eucalyptus fusiformis","Eucalyptus fusiformis","","Species","D.Nicolle","Macksville, NSW",30,54,9,152,51,12,61,14,"Alive","Slight","1","Slight","1","?","Moderate","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1994,"0",-30.9025,152.8533333,"Eucalyptus fusiformis","NSW,Qld","Combination","Y",8575,1608,0.8575,18.2875,22.63333,13.4,1379,187,39,42.56675,526,144,472,194,9.875,49.375,373.1629,27.3,7.3,20,22.48333,14.18333,0.1608,1378.839,""
"52","R061/T15",-27.65,1.4,50.1,645,1994,"Eucalyptus fusiformis","Eucalyptus fusiformis","Adnataria","x",7.97,8.3,6.55,6.42,1.63,2.8505,1.17,"Eucalyptus fusiformis","Eucalyptus fusiformis","","Species","D.Nicolle","Macksville, NSW",30,54,9,152,51,12,61,15,"Alive","Moderate","2","Slight","1","?","Extensive","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1994,"0",-30.9025,152.8533333,"Eucalyptus fusiformis","NSW,Qld","Combination","Y",8575,1608,0.8575,18.2875,22.63333,13.4,1379,187,39,42.56675,526,144,472,194,9.875,49.375,373.1629,27.3,7.3,20,22.48333,14.18333,0.1608,1378.839,""
"53","R061/T29",-29.74,1.3,49,643,1994,"Eucalyptus paniculata","Eucalyptus fergusonii subsp. fergusonii","Adnataria","x",10.31,9.85,7.78,7.57,2.68,2.8421,1.73,"Eucalyptus fergusonii subsp. fergusonii","Eucalyptus paniculata","","Species","D.Nicolle","Bulahdelah, NSW",32,14,55,152,11,30,61,29,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.24861111,152.1916667,NA,"NSW","Combination","Y",7130,1570,0.713,17.13333,21.71667,12.1,1120,152,44,35.53238,412,149,356,188,9.983333,49.42244,387.4411,26.8,6.6,20.2,21.5,12.81667,0.157,1119.843,""
"54","R061/T30",-28.63,1.7,50.3,643,1994,"Eucalyptus paniculata","Eucalyptus fergusonii subsp. fergusonii","Adnataria","x",10.62,11.52,7.99,9.13,2.04,2.7538,1.31,"Eucalyptus fergusonii subsp. fergusonii","Eucalyptus paniculata","","Species","D.Nicolle","Bulahdelah, NSW",32,14,55,152,11,30,61,30,"Alive","None evident","0","Slight","1","?","None evident","","","","","None evident","Flowered","Flowered",1994,"0",-32.24861111,152.1916667,NA,"NSW","Combination","Y",7130,1570,0.713,17.13333,21.71667,12.1,1120,152,44,35.53238,412,149,356,188,9.983333,49.42244,387.4411,26.8,6.6,20.2,21.5,12.81667,0.157,1119.843,""
"55","R061/T31",-27.92,1.2,51.1,643,1994,"Eucalyptus paniculata","Eucalyptus fergusonii subsp. fergusonii","Adnataria","x",14.38,13.34,10.57,11.12,4.13,3.7363,2.78,"Eucalyptus fergusonii subsp. fergusonii","Eucalyptus paniculata","","Species","D.Nicolle","Bulahdelah, NSW",32,14,55,152,11,30,61,31,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1994,"0",-32.24861111,152.1916667,NA,"NSW","Combination","Y",7130,1570,0.713,17.13333,21.71667,12.1,1120,152,44,35.53238,412,149,356,188,9.983333,49.42244,387.4411,26.8,6.6,20.2,21.5,12.81667,0.157,1119.843,""
"56","R070/T13",-29.44,0.7,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","R070/T15",-28.89,0.7,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","R062/T25",-28.45,1.4,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","R062/T26",-28.2,1.5,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","R062/T27",-28.27,1.2,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","R063/T17",-30.06,0.9,48.3,1178,1995,"Eucalyptus victrix","Eucalyptus victrix","Adnataria","x",9.08,8.77,7.05,6.6,1.72,4.3876,1.17,"Eucalyptus victrix","Eucalyptus victrix","","Species","D.Nicolle","Lake Macleod,  WA",24,1,4,113,29,17,63,17,"Alive","Slight","1","None evident","0","?","None evident","","","","","None evident","Flowered","Flowered",1995,"0",-24.01777778,113.4880556,"Eucalyptus victrix","WA,NT,Qld?","Combination","Y",847,2866,0.0847,23.37083244,28.79999924,17.58333397,243,57,2,85.77166748,139,11,60,119,14.1916666,53.55346298,449.5626831,36.09999847,9.600000381,26.49999809,18.66666603,24.71666718,0.2866,242.7134,""
"62","R063/T19",-29.04,1.1,49.1,1178,1995,"Eucalyptus victrix","Eucalyptus victrix","Adnataria","x",8.01,7.29,6.16,5.64,1.36,5.2623,0.99,"Eucalyptus victrix","Eucalyptus victrix","","Species","D.Nicolle","Lake Macleod,  WA",24,1,4,113,29,17,63,19,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-24.01777778,113.4880556,"Eucalyptus victrix","WA,NT,Qld?","Combination","Y",847,2866,0.0847,23.37083244,28.79999924,17.58333397,243,57,2,85.77166748,139,11,60,119,14.1916666,53.55346298,449.5626831,36.09999847,9.600000381,26.49999809,18.66666603,24.71666718,0.2866,242.7134,""
"63","R063/T20",-28.93,0.9,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","R066/T19",-28.44,0.8,47.1,1207,1995,"Eucalyptus normantonensis","Eucalyptus normantonensis","Adnataria","x",7.69,7.46,5.57,5.4,1.05,3.0397,0.76,"Eucalyptus normantonensis","Eucalyptus normantonensis","","Species","D.Nicolle","MacDonnell Ranges, NT",23,38,9,132,34,2,66,19,"Alive","None evident","0","None evident","0","?","","","","","","None evident","","",1995,"0",-23.63583333,132.5672222,"Eucalyptus normantonensis","NT,Qld,WA","Lignotuber","Y",1146,2825,0.1146,21.89166641,28.63333321,13.96666622,324,50,9,54.86532593,142,31,138,38,14.76666641,46.87830734,601.4030151,36.59999847,5.099999905,31.49999809,27.96666718,16,0.2825,323.7175,""
"65","R066/T20",-28.31,0.8,50.5,1207,1995,"Eucalyptus normantonensis","Eucalyptus normantonensis","Adnataria","x",8.47,8.57,6.64,6.72,1.78,3.3977,1.14,"Eucalyptus normantonensis","Eucalyptus normantonensis","","Species","D.Nicolle","MacDonnell Ranges, NT",23,38,9,132,34,2,66,20,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-23.63583333,132.5672222,"Eucalyptus normantonensis","NT,Qld,WA","Lignotuber","Y",1146,2825,0.1146,21.89166641,28.63333321,13.96666622,324,50,9,54.86532593,142,31,138,38,14.76666641,46.87830734,601.4030151,36.59999847,5.099999905,31.49999809,27.96666718,16,0.2825,323.7175,""
"66","R066/T21",-27.62,1.3,48.7,1207,1995,"Eucalyptus normantonensis","Eucalyptus normantonensis","Adnataria","x",6.32,6.62,5.26,4.76,0.95,2.756,0.68,"Eucalyptus normantonensis","Eucalyptus normantonensis","","Species","D.Nicolle","MacDonnell Ranges, NT",23,38,9,132,34,2,66,21,"Alive","None evident","0","None evident","0","?","","","","","","None evident","Flowered","Flowered",1995,"0",-23.63583333,132.5672222,"Eucalyptus normantonensis","NT,Qld,WA","Lignotuber","Y",1146,2825,0.1146,21.89166641,28.63333321,13.96666622,324,50,9,54.86532593,142,31,138,38,14.76666641,46.87830734,601.4030151,36.59999847,5.099999905,31.49999809,27.96666718,16,0.2825,323.7175,""
"67","R066/T25",-30.26,1.4,48.4,1206,1995,"Eucalyptus camaldulensis subsp. arida","Eucalyptus camaldulensis subsp. arida","Exsertaria","x",7.21,7.08,6.04,6.19,1.41,3.3364,0.8,"Eucalyptus camaldulensis subsp. arida","Eucalyptus camaldulensis subsp. arida","","Subspecies","D.Nicolle","MacDonnell Ranges, NT",23,12,15,131,33,37,66,25,"Alive","Severe","3","Severe","3","?","Moderate","Trunk + primary, secondary & tertiary branches","3 - 6 months","Slight","","None evident","","",1995,"0",-23.20416667,131.5602778,"Eucalyptus camaldulensis subsp. arida","WA,NT,Qld,SA,NSW","Combination","Y",1260,3031,0.126,23.72083282,30.31666565,15.6833334,382,75,5,66.77604675,186,31,179,38,15.54166698,48.56770706,601.673645,38.5,6.5,32,29.66666603,17.76666641,0.3031,381.6969,""
"68","R066/T26",-28.84,1.7,49.8,1206,1995,"Eucalyptus camaldulensis subsp. arida","Eucalyptus camaldulensis subsp. arida","Exsertaria","x",8.47,8.77,6.83,7.09,1.7,3.9761,0.9,"Eucalyptus camaldulensis subsp. arida","Eucalyptus camaldulensis subsp. arida","","Subspecies","D.Nicolle","MacDonnell Ranges, NT",23,12,15,131,33,37,66,26,"Alive","Severe","3","Moderate","2","?","Scattered","Secondary & tertiary branches","3 - 6 months","Slight","","None evident","","",1995,"0",-23.20416667,131.5602778,"Eucalyptus camaldulensis subsp. arida","WA,NT,Qld,SA,NSW","Combination","Y",1260,3031,0.126,23.72083282,30.31666565,15.6833334,382,75,5,66.77604675,186,31,179,38,15.54166698,48.56770706,601.673645,38.5,6.5,32,29.66666603,17.76666641,0.3031,381.6969,""
